Aachener Tafel e.V.,Clermontstraße 10 52066 Aachen ,info@aachener-tafel.de,www.aachener-tafel.de
Aalener Tafel - Kocherladen e.V.,Bahnhofstr. 55 73430 Aalen ,kocherladen@web.de,www.evangelische-kirchengemeinde-aalen.de/html/kocherladen_e_v_.html
Abensberger Tafel e.V.,1 Bad Gögginger Weg 22 93326 Abensberg ,rudolf.buchner@me.com,http://www.abensberg-tafel.de
Achentaler Tafel,Loitshauser Str. 14 8325 Marquartstein ,diakonie-marquartstein@web.de,
Acherner Tafel,Rosenstr. 18 7785 Achern ,hoffmann@caritas-acher-renchtal.de,www.caritas-acher-renchtal.de/28582.html
Achimer Tafel e.V.,Unterstraße 9 28832 Achim ,info@achimer-tafel.de,www.achimer-tafel.de
Ahauser Tafel,1 Schloßstraße 16 48683 Ahaus ,info@skf-ahaus-vreden.de,
Ahrensböker Tafel e. V.,1 Bökenbarg 15 23623 Ahrensbök ,info@ahrensboeker-tafel.de,
Ahrensburger Tafel e.V.,1 Bei der Alten Kate 1 22926 Ahrensburg ,ahrensburgertafel@t-online.de,www.ahrensburger-tafel.de
Ahrweiler Tafel,Bahnhofstr. 5 5347 Bad Neuenahr-Ahrweiler ,info@caritas-ahrweiler.de,www.caritas-ahrweiler.de
Aichacher Tafel,Bahnhofstraße 28 86551 Aichach ,britta.sprenger@caritas-aichach-friedberg.de,
Aischgründer Tafel,Ansbacher Str. 6 91413 Neustadt an der Aisch ,isswas@t-online.de, el.hurt@gmx.de,
Albersdorfer Tafel,1 Süderstraße 9 25767 Albersdorf ,olaf.schulz1@yahoo.de,
Albstädter Tafel,Brühlstraße 7 72458 Albstadt-Ebingen ,tafel@caritas-schwarzwald-alb-donau.de,
Alfelder Tafel e. V.,1 Holzer Str. 2 - 4 31061 Alfeld ,info@alfelder-tafel.de,www.alfelder-tafel.de
Alsfelder Tafel e.V.,1 Georg-Dietrich-Bücking-Str. 20 36304 Alsfeld ,mail@tafel-alsfeld.de; mathias.koehl@tafel-alsfed.de,www.tafel-alsfeld.de
